,Model Name,Sample Size,Number Of Random Sample Test,Number Of Neighbors,Base Error Rate,Mean Error Rate On Random Samples,STD Of Error Rate On Random Samples,Max Error Rate On Random Samples,Min Error Rate On Random Samples,EUR Mean Error Rate On Random Samples,EUR STD Of Error Rate On Random Samples,EUR Max Error Rate On Random Samples,EUR Min Error Rate On Random Samples,EAS Mean Error Rate On Random Samples,EAS STD Of Error Rate On Random Samples,EAS Max Error Rate On Random Samples,EAS Min Error Rate On Random Samples,AMR Mean Error Rate On Random Samples,AMR STD Of Error Rate On Random Samples,AMR Max Error Rate On Random Samples,AMR Min Error Rate On Random Samples,SAS Mean Error Rate On Random Samples,SAS STD Of Error Rate On Random Samples,SAS Max Error Rate On Random Samples,SAS Min Error Rate On Random Samples,AFR Mean Error Rate On Random Samples,AFR STD Of Error Rate On Random Samples,AFR Max Error Rate On Random Samples,AFR Min Error Rate On Random Samples
15,KNeighborsClassifier,1000,1,6,0.176,0.204,,0.204,0.204,0.03864734299516908,,0.03864734299516908,0.03864734299516908,0.050505050505050504,,0.050505050505050504,0.050505050505050504,0.6504065040650406,,0.6504065040650406,0.6504065040650406,0.4789473684210526,,0.4789473684210526,0.4789473684210526,0.05319148936170213,,0.05319148936170213,0.05319148936170213
16,KNeighborsClassifier,1000,1,6,0.176,0.217,,0.217,0.217,0.07035175879396985,,0.07035175879396985,0.07035175879396985,0.050761421319796954,,0.050761421319796954,0.050761421319796954,0.6068965517241379,,0.6068965517241379,0.6068965517241379,0.435,,0.435,0.435,0.0694980694980695,,0.0694980694980695,0.0694980694980695
17,KNeighborsClassifier,1000,1,6,0.176,0.218,,0.218,0.218,0.0427807486631016,,0.0427807486631016,0.0427807486631016,0.04433497536945813,,0.04433497536945813,0.04433497536945813,0.6617647058823529,,0.6617647058823529,0.6617647058823529,0.495,,0.495,0.495,0.040293040293040296,,0.040293040293040296,0.040293040293040296
18,KNeighborsClassifier,1000,1,6,0.176,0.225,,0.225,0.225,0.0673076923076923,,0.0673076923076923,0.0673076923076923,0.01990049751243781,,0.01990049751243781,0.01990049751243781,0.7028985507246377,,0.7028985507246377,0.7028985507246377,0.4717948717948718,,0.4717948717948718,0.4717948717948718,0.06976744186046512,,0.06976744186046512,0.06976744186046512
19,KNeighborsClassifier,1000,1,6,0.176,0.224,,0.224,0.224,0.078125,,0.078125,0.078125,0.057692307692307696,,0.057692307692307696,0.057692307692307696,0.6571428571428571,,0.6571428571428571,0.6571428571428571,0.4897959183673469,,0.4897959183673469,0.4897959183673469,0.03409090909090909,,0.03409090909090909,0.03409090909090909
20,KNeighborsClassifier,1000,1,6,0.176,0.213,,0.213,0.213,0.04700854700854701,,0.04700854700854701,0.04700854700854701,0.057291666666666664,,0.057291666666666664,0.057291666666666664,0.6896551724137931,,0.6896551724137931,0.6896551724137931,0.5187165775401069,,0.5187165775401069,0.5187165775401069,0.05166051660516605,,0.05166051660516605,0.05166051660516605
21,KNeighborsClassifier,1000,1,6,0.176,0.248,,0.248,0.248,0.08256880733944955,,0.08256880733944955,0.08256880733944955,0.05527638190954774,,0.05527638190954774,0.05527638190954774,0.7152777777777778,,0.7152777777777778,0.7152777777777778,0.5074626865671642,,0.5074626865671642,0.5074626865671642,0.05485232067510549,,0.05485232067510549,0.05485232067510549
22,KNeighborsClassifier,1000,1,6,0.176,0.226,,0.226,0.226,0.04390243902439024,,0.04390243902439024,0.04390243902439024,0.04054054054054054,,0.04054054054054054,0.04054054054054054,0.7723577235772358,,0.7723577235772358,0.7723577235772358,0.5025641025641026,,0.5025641025641026,0.5025641025641026,0.058823529411764705,,0.058823529411764705,0.058823529411764705
23,KNeighborsClassifier,1000,1,6,0.176,0.211,,0.211,0.211,0.04838709677419355,,0.04838709677419355,0.04838709677419355,0.039647577092511016,,0.039647577092511016,0.039647577092511016,0.7142857142857143,,0.7142857142857143,0.7142857142857143,0.4308510638297872,,0.4308510638297872,0.4308510638297872,0.056818181818181816,,0.056818181818181816,0.056818181818181816
24,KNeighborsClassifier,1000,1,6,0.176,0.224,,0.224,0.224,0.078125,,0.078125,0.078125,0.0514018691588785,,0.0514018691588785,0.0514018691588785,0.6906474820143885,,0.6906474820143885,0.6906474820143885,0.483695652173913,,0.483695652173913,0.483695652173913,0.04797047970479705,,0.04797047970479705,0.04797047970479705
